Step,Layer,Head,Sparsity
1,8,30,0.3528
1,8,31,0.3623
1,8,32,0.0509
1,8,33,0.0629
1,8,34,0.2415
1,8,35,0.5041
1,8,36,0.2529
1,8,37,0.217
1,8,38,0.3626
1,8,39,0.1048
1,9,0,0.3706
1,9,1,0.1369
1,9,2,0.1718
1,9,3,0.3614
1,9,4,0.0961
1,9,5,0.1517
1,9,6,0.0779
1,9,7,0.2122
1,9,8,0.3227
1,9,9,0.1686
1,9,10,0.1491
1,9,11,0.1449
1,9,12,0.086
1,9,13,0.0311
1,9,14,0.3283
1,9,15,0.1185
1,9,16,0.2065
1,9,17,0.438
1,9,18,0.0166
1,9,19,0.2817
1,9,20,0.2365
1,9,21,0.0915
1,9,22,0.2937
1,9,23,0.0963
1,9,24,0.3084
1,9,25,0.222
1,9,26,0.2203
1,9,27,0.2676
1,9,28,0.0582
1,9,29,0.078
1,9,30,0.1778
1,9,31,0.3338
1,9,32,0.0585
1,9,33,0.2879
1,9,34,0.2834
1,9,35,0.2112
1,9,36,0.0774
1,9,37,0.2369
1,9,38,0.3969
1,9,39,0.1946
1,10,0,0.0604
1,10,1,0.3621
1,10,2,0.24
1,10,3,0.1322
1,10,4,0.0202
1,10,5,0.3581
1,10,6,0.1252
1,10,7,0.2746
1,10,8,0.0605
1,10,9,0.1395
1,10,10,0.0766
1,10,11,0.4179
1,10,12,0.1245
1,10,13,0.2997
1,10,14,0.2667
1,10,15,0.367
1,10,16,0.0769
1,10,17,0.0876
1,10,18,0.1958
1,10,19,0.0425
1,10,20,0.0888
1,10,21,0.2498
1,10,22,0.2101
1,10,23,0.0322
1,10,24,0.2882
1,10,25,0.4282
1,10,26,0.1821
1,10,27,0.2512
1,10,28,0.4128
1,10,29,0.1389
1,10,30,0.1943
1,10,31,0.3085
1,10,32,0.1191
1,10,33,0.0255
1,10,34,0.2096
1,10,35,0.1167
1,10,36,0.2314
1,10,37,0.0485
1,10,38,0.1043
1,10,39,0.0952
1,11,0,0.0527
1,11,1,0.2181
1,11,2,0.3437
1,11,3,0.0578
1,11,4,0.1458
1,11,5,0.1608
1,11,6,0.3965
1,11,7,0.2858
1,11,8,0.0948
1,11,9,0.1704
1,11,10,0.199
1,11,11,0.0179
1,11,12,0.4858
1,11,13,0.0307
1,11,14,0.2294
1,11,15,0.0565
1,11,16,0.046
1,11,17,0.2726
1,11,18,0.2189
1,11,19,0.2861
1,11,20,0.2867
1,11,21,0.2506
1,11,22,0.1676
1,11,23,0.2867
1,11,24,0.1748
1,11,25,0.3726
1,11,26,0.198
1,11,27,0.155
1,11,28,0.3047
1,11,29,0.1043
1,11,30,0.1354
1,11,31,0.1044
1,11,32,0.0658
1,11,33,0.0375
1,11,34,0.2291
1,11,35,0.2149
1,11,36,0.0158
1,11,37,0.1772
1,11,38,0.3958
1,11,39,0.2935
1,12,0,0.2471
1,12,1,0.3016
1,12,2,0.1902
1,12,3,0.139
1,12,4,0.3904
1,12,5,0.0523
1,12,6,0.0737
1,12,7,0.229
1,12,8,0.075
1,12,9,0.0481
1,12,10,0.0274
1,12,11,0.1851
1,12,12,0.1253
1,12,13,0.134
1,12,14,0.19
1,12,15,0.0447
1,12,16,0.147
1,12,17,0.3162
1,12,18,0.0556
1,12,19,0.245
1,12,20,0.2435
1,12,21,0.0838
1,12,22,0.0229
1,12,23,0.1265
1,12,24,0.1813
1,12,25,0.0529
1,12,26,0.3035
1,12,27,0.1541
1,12,28,0.0309
1,12,29,0.0507
1,12,30,0.1223
1,12,31,0.3704
1,12,32,0.0554
1,12,33,0.0591
1,12,34,0.0885
1,12,35,0.2853
1,12,36,0.1321
1,12,37,0.1653
1,12,38,0.0591
1,12,39,0.1746
1,13,0,0.1724
1,13,1,0.1256
1,13,2,0.4258
1,13,3,0.4794
1,13,4,0.013
1,13,5,0.3837
1,13,6,0.0848
1,13,7,0.0772
1,13,8,0.04
1,13,9,0.48
1,13,10,0.0857
1,13,11,0.042
1,13,12,0.1063
1,13,13,0.057
1,13,14,0.2634
1,13,15,0.0313
1,13,16,0.044
1,13,17,0.4729
1,13,18,0.0566
1,13,19,0.0475
1,13,20,0.1096
1,13,21,0.0161
1,13,22,0.0946
1,13,23,0.0852
1,13,24,0.4279
1,13,25,0.0824
1,13,26,0.0367
1,13,27,0.194
1,13,28,0.193
1,13,29,0.2693
1,13,30,0.0288
1,13,31,0.0237
1,13,32,0.1495
1,13,33,0.3274
1,13,34,0.0528
1,13,35,0.1601
1,13,36,0.2143
1,13,37,0.0462
1,13,38,0.0535
1,13,39,0.0304
1,14,0,0.031
1,14,1,0.0558
1,14,2,0.2653
1,14,3,0.2769
1,14,4,0.0724
1,14,5,0.2398
1,14,6,0.0219
1,14,7,0.2354
1,14,8,0.1529
1,14,9,0.0222
1,14,10,0.0806
1,14,11,0.0866
1,14,12,0.1857
1,14,13,0.1914
1,14,14,0.1764
1,14,15,0.3197
1,14,16,0.2034
1,14,17,0.1615
1,14,18,0.1582
1,14,19,0.0345
1,14,20,0.341
1,14,21,0.1446
1,14,22,0.0883
1,14,23,0.0923
1,14,24,0.2431
1,14,25,0.3441
1,14,26,0.2099
1,14,27,0.0529
1,14,28,0.1274
1,14,29,0.1872
1,14,30,0.3063
1,14,31,0.0709
1,14,32,0.2179
1,14,33,0.1121
1,14,34,0.1074
1,14,35,0.1077
1,14,36,0.2784
1,14,37,0.2817
1,14,38,0.0352
1,14,39,0.0837
1,15,0,0.0494
1,15,1,0.7473
1,15,2,0.1123
1,15,3,0.4663
1,15,4,0.3152
1,15,5,0.3313
1,15,6,0.0597
1,15,7,0.0299
1,15,8,0.0755
1,15,9,0.0429
1,15,10,0.0583
1,15,11,0.2603
1,15,12,0.2486
1,15,13,0.7069
1,15,14,0.1217
1,15,15,0.0375
1,15,16,0.2926
1,15,17,0.1616
1,15,18,0.0644
1,15,19,0.0312
1,15,20,0.5836
1,15,21,0.1297
1,15,22,0.2151
1,15,23,0.3356
1,15,24,0.1462
1,15,25,0.0892
1,15,26,0.1452
1,15,27,0.4963
1,15,28,0.0874
1,15,29,0.0393
1,15,30,0.029
1,15,31,0.0652
1,15,32,0.1141
1,15,33,0.1374
1,15,34,0.1227
1,15,35,0.2933
1,15,36,0.0509
1,15,37,0.047
1,15,38,0.0117
1,15,39,0.1068
1,16,0,0.3062
1,16,1,0.1297
1,16,2,0.1499
1,16,3,0.0563
1,16,4,0.1458
1,16,5,0.1553
1,16,6,0.0199
1,16,7,0.0347
1,16,8,0.2902
1,16,9,0.1607
1,16,10,0.1602
1,16,11,0.534
1,16,12,0.3776
1,16,13,0.1003
1,16,14,0.2614
1,16,15,0.511
1,16,16,0.0747
1,16,17,0.1953
1,16,18,0.2543
1,16,19,0.0233
1,16,20,0.2112
1,16,21,0.0492
1,16,22,0.1558
1,16,23,0.0775
1,16,24,0.1583
1,16,25,0.3049
1,16,26,0.1131
1,16,27,0.1502
1,16,28,0.1334
1,16,29,0.0466
1,16,30,0.2081
1,16,31,0.0823
1,16,32,0.027
1,16,33,0.053
1,16,34,0.0849
1,16,35,0.6263
1,16,36,0.0938
1,16,37,0.0394
1,16,38,0.0371
1,16,39,0.0411
1,17,0,0.059
1,17,1,0.291
1,17,2,0.0629
1,17,3,0.0337
1,17,4,0.3106
1,17,5,0.025
1,17,6,0.0181
1,17,7,0.1288
1,17,8,0.3922
1,17,9,0.4011
1,17,10,0.1348
1,17,11,0.1106
1,17,12,0.0932
1,17,13,0.3766
1,17,14,0.0546
1,17,15,0.0201
1,17,16,0.4929
1,17,17,0.1145
1,17,18,0.2283
1,17,19,0.3465
1,17,20,0.121
1,17,21,0.1745
1,17,22,0.1269
1,17,23,0.065
1,17,24,0.0231
1,17,25,0.0882
1,17,26,0.0499
1,17,27,0.0549
1,17,28,0.4272
1,17,29,0.1072
1,17,30,0.1055
1,17,31,0.0805
1,17,32,0.2991
1,17,33,0.0103
1,17,34,0.0557
1,17,35,0.3275
1,17,36,0.1439
1,17,37,0.0871
1,17,38,0.0846
1,17,39,0.0728
1,18,0,0.1739
1,18,1,0.0542
1,18,2,0.2469
1,18,3,0.1775
1,18,4,0.0722
1,18,5,0.0275
1,18,6,0.0341
1,18,7,0.3913
1,18,8,0.0442
1,18,9,0.086
1,18,10,0.102
1,18,11,0.0237
1,18,12,0.0997
1,18,13,0.2318
1,18,14,0.1517
1,18,15,0.0124
1,18,16,0.0199
1,18,17,0.0567
1,18,18,0.0216
1,18,19,0.3477
1,18,20,0.0512
1,18,21,0.1661
1,18,22,0.1627
1,18,23,0.1829
1,18,24,0.2233
1,18,25,0.0764
1,18,26,0.1024
1,18,27,0.1662
1,18,28,0.0209
1,18,29,0.1621
1,18,30,0.1034
1,18,31,0.2583
1,18,32,0.0267
1,18,33,0.0225
1,18,34,0.0306
1,18,35,0.0824
1,18,36,0.1249
1,18,37,0.2419
1,18,38,0.5596
1,18,39,0.3884
1,19,0,0.0796
1,19,1,0.0711
1,19,2,0.106
1,19,3,0.1719
1,19,4,0.0176
1,19,5,0.1838
1,19,6,0.2118
1,19,7,0.0501
1,19,8,0.0309
1,19,9,0.1069
1,19,10,0.0138
1,19,11,0.3131
1,19,12,0.4439
1,19,13,0.0762
1,19,14,0.0592
1,19,15,0.2229
1,19,16,0.2757
1,19,17,0.1188
1,19,18,0.1434
1,19,19,0.066
1,19,20,0.0847
1,19,21,0.0775
1,19,22,0.3426
1,19,23,0.1093
1,19,24,0.0814
1,19,25,0.0884
1,19,26,0.1766
1,19,27,0.6337
1,19,28,0.0504
1,19,29,0.1339
1,19,30,0.0911
1,19,31,0.1406
1,19,32,0.0796
1,19,33,0.0283
1,19,34,0.0988
1,19,35,0.2228
1,19,36,0.3643
1,19,37,0.2248
1,19,38,0.1201
1,19,39,0.2714
1,20,0,0.1212
1,20,1,0.1384
1,20,2,0.2298
1,20,3,0.0278
1,20,4,0.335
1,20,5,0.1671
1,20,6,0.2941
1,20,7,0.1294
1,20,8,0.2322
1,20,9,0.1872
1,20,10,0.4665
1,20,11,0.4425
1,20,12,0.6967
1,20,13,0.2392
1,20,14,0.0959
1,20,15,0.0346
1,20,16,0.2526
1,20,17,0.1304
1,20,18,0.2346
1,20,19,0.1624
1,20,20,0.0798
1,20,21,0.0429
1,20,22,0.2888
1,20,23,0.512
1,20,24,0.2465
1,20,25,0.2203
1,20,26,0.1066
1,20,27,0.3577
1,20,28,0.2419
1,20,29,0.0258
1,20,30,0.1589
1,20,31,0.0704
1,20,32,0.4612
1,20,33,0.1027
1,20,34,0.0943
1,20,35,0.234
1,20,36,0.1817
1,20,37,0.2764
1,20,38,0.1695
1,20,39,0.1331
1,21,0,0.7236
1,21,1,0.0047
1,21,2,0.3657
1,21,3,0.3503
1,21,4,0.0986
1,21,5,0.37
1,21,6,0.0593
1,21,7,0.4303
1,21,8,0.0008
1,21,9,0.3402
1,21,10,0.4225
1,21,11,0.0543
1,21,12,0.3996
1,21,13,0.0445
1,21,14,0.318
1,21,15,0.1726
1,21,16,0.2686
1,21,17,0.1833
1,21,18,0.282
1,21,19,0.5321
1,21,20,0.3248
1,21,21,0.0973
1,21,22,0.4785
1,21,23,0.015
1,21,24,0.3912
1,21,25,0.163
1,21,26,0.0752
1,21,27,0.231
1,21,28,0.0933
1,21,29,0.0605
1,21,30,0.0733
1,21,31,0.1434
1,21,32,0.375
1,21,33,0.1129
1,21,34,0.0978
1,21,35,0.2396
1,21,36,0.2487
1,21,37,0.3769
1,21,38,0.1517
1,21,39,0.0593
1,22,0,0.3185
1,22,1,0.0483
1,22,2,0.3639
1,22,3,0.0684
1,22,4,0.6835
1,22,5,0.5275
1,22,6,0.0099
1,22,7,0.0796
1,22,8,0.0717
1,22,9,0.6903
1,22,10,0.2085
1,22,11,0.1404
1,22,12,0.1985
1,22,13,0.5033
1,22,14,0.0881
1,22,15,0.1719
1,22,16,0.7523
1,22,17,0.1988
1,22,18,0.1872
1,22,19,0.0093
1,22,20,0.0283
1,22,21,0.0957
1,22,22,0.0082
1,22,23,0.014
1,22,24,0.1942
1,22,25,0.566
1,22,26,0.5015
