Step,Layer,Head,Sparsity
2,7,0,0.3152
2,7,1,0.2431
2,7,2,0.236
2,7,3,0.0131
2,7,4,0.541
2,7,5,0.3201
2,7,6,0.2893
2,7,7,0.2598
2,7,8,0.0442
2,7,9,0.3098
2,7,10,0.5572
2,7,11,0.3242
2,8,0,0.0735
2,8,1,0.2177
2,8,2,0.617
2,8,3,0.0413
2,8,4,0.0224
2,8,5,0.3272
2,8,6,0.5802
2,8,7,0.6184
2,8,8,0.403
2,8,9,0.6008
2,8,10,0.0165
2,8,11,0.2335
2,9,0,0.1189
2,9,1,0.1218
2,9,2,0.1446
2,9,3,0.1141
2,9,4,0.3727
2,9,5,0.6827
2,9,6,0.1229
2,9,7,0.5263
2,9,8,0.2317
2,9,9,0.1248
2,9,10,0.1104
2,9,11,0.4134
2,10,0,0.1132
2,10,1,0.3025
2,10,2,0.2611
2,10,3,0.1419
2,10,4,0.3416
2,10,5,0.1634
2,10,6,0.4718
2,10,7,0.5354
2,10,8,0.5983
2,10,9,0.1956
2,10,10,0.1893
2,10,11,0.0922
2,11,0,0.3582
2,11,1,0.0615
2,11,2,0.2119
2,11,3,0.197
2,11,4,0.0527
2,11,5,0.3961
2,11,6,0.11
2,11,7,0.3685
2,11,8,0.5324
2,11,9,0.0363
2,11,10,0.4875
2,11,11,0.3214
2,12,0,0.0489
2,12,1,0.1775
2,12,2,0.0203
2,12,3,0.5907
2,12,4,0.5011
2,12,5,0.633
2,12,6,0.1275
2,12,7,0.297
2,12,8,0.0251
2,12,9,0.2758
2,12,10,0.3392
2,12,11,0.2666
2,13,0,0.0502
2,13,1,0.1104
2,13,2,0.1017
2,13,3,0.4096
2,13,4,0.3018
2,13,5,0.0998
2,13,6,0.2718
2,13,7,0.1288
2,13,8,0.2465
2,13,9,0.0669
2,13,10,0.2844
2,13,11,0.0767
2,14,0,0.0509
2,14,1,0.1111
2,14,2,0.3106
2,14,3,0.1298
2,14,4,0.0282
2,14,5,0.2915
2,14,6,0.5408
2,14,7,0.4043
2,14,8,0.2129
2,14,9,0.4418
2,14,10,0.3524
2,14,11,0.1785
2,15,0,0.2922
2,15,1,0.0697
2,15,2,0.0982
2,15,3,0.2165
2,15,4,0.0966
2,15,5,0.2322
2,15,6,0.4566
2,15,7,0.0942
2,15,8,0.4677
2,15,9,0.2375
2,15,10,0.4227
2,15,11,0.2771
2,16,0,0.0662
2,16,1,0.318
2,16,2,0.2234
2,16,3,0.3318
2,16,4,0.0831
2,16,5,0.3554
2,16,6,0.0541
2,16,7,0.2881
2,16,8,0.4604
2,16,9,0.0989
2,16,10,0.298
2,16,11,0.1323
2,17,0,0.113
2,17,1,0.1177
2,17,2,0.189
2,17,3,0.0543
2,17,4,0.1661
2,17,5,0.0405
2,17,6,0.1214
2,17,7,0.0731
2,17,8,0.0535
2,17,9,0.1426
2,17,10,0.0592
2,17,11,0.2819
2,18,0,0.1327
2,18,1,0.0966
2,18,2,0.0814
2,18,3,0.095
2,18,4,0.1429
2,18,5,0.1489
2,18,6,0.1338
2,18,7,0.1561
2,18,8,0.099
2,18,9,0.5851
2,18,10,0.0424
2,18,11,0.0926
2,19,0,0.1829
2,19,1,0.0888
2,19,2,0.0045
2,19,3,0.2453
2,19,4,0.019
2,19,5,0.2842
2,19,6,0.4755
2,19,7,0.1903
2,19,8,0.7976
2,19,9,0.1662
2,19,10,0.5963
2,19,11,0.04
2,20,0,0.2413
2,20,1,0.0095
2,20,2,0.1871
2,20,3,0.0145
2,20,4,0.2436
2,20,5,0.0058
2,20,6,0.3706
2,20,7,0.0494
2,20,8,0.0098
2,20,9,0.4679
2,20,10,0.2855
2,20,11,0.0235
2,21,0,0.3798
2,21,1,0.0752
2,21,2,0.1121
2,21,3,0.0169
2,21,4,0.2316
2,21,5,0.7817
2,21,6,0.467
2,21,7,0.0606
2,21,8,0.0267
2,21,9,0.0436
2,21,10,0.0104
2,21,11,0.1568
2,22,0,0.4089
2,22,1,0.1575
2,22,2,0.6198
2,22,3,0.137
2,22,4,0.2705
2,22,5,0.1289
2,22,6,0.3203
2,22,7,0.6109
2,22,8,0.1607
2,22,9,0.713
2,22,10,0.3054
2,22,11,0.4448
2,23,0,0.5362
2,23,1,0.0155
2,23,2,0.7616
2,23,3,0.1601
2,23,4,0.2804
2,23,5,0.4455
2,23,6,0.2803
2,23,7,0.385
2,23,8,0.4899
2,23,9,0.1446
2,23,10,0.0035
2,23,11,0.1761
2,24,0,0.0329
2,24,1,0.0694
2,24,2,0.1243
2,24,3,0.5939
2,24,4,0.7648
2,24,5,0.2755
2,24,6,0.0413
2,24,7,0.2132
2,24,8,0.0479
2,24,9,0.2539
2,24,10,0.1977
2,24,11,0.1292
2,25,0,0.4179
2,25,1,0.1361
2,25,2,0.1744
2,25,3,0.2759
2,25,4,0.3581
2,25,5,0.6697
2,25,6,0.4978
2,25,7,0.1621
2,25,8,0.2839
2,25,9,0.2921
2,25,10,0.5169
2,25,11,0.1565
2,26,0,0.7166
2,26,1,0.1012
2,26,2,0.1769
2,26,3,0.7923
2,26,4,0.3374
2,26,5,0.6512
2,26,6,0.19
2,26,7,0.6715
2,26,8,0.0113
2,26,9,0.2751
2,26,10,0.0045
2,26,11,0.4149
2,27,0,0.6564
2,27,1,0.2841
2,27,2,0.0039
2,27,3,0.0778
2,27,4,0.8633
2,27,5,0.7489
2,27,6,0.0131
2,27,7,0.0044
2,27,8,0.3291
2,27,9,0.0071
2,27,10,0.1015
2,27,11,0.0044
2,28,0,0.0003
2,28,1,0.0005
2,28,2,0.0504
2,28,3,0.8652
2,28,4,0.6308
2,28,5,0.412
2,28,6,0.0059
2,28,7,0.6542
2,28,8,0.0006
2,28,9,0.0129
2,28,10,0.2793
2,28,11,0.0003
2,29,0,0.0009
2,29,1,0.8069
2,29,2,0.0104
2,29,3,0.5093
2,29,4,0.0802
2,29,5,0.2737
2,29,6,0.8871
2,29,7,0.8293
2,29,8,0.5858
