Step,Layer,Head,Sparsity
1,15,11,0.082
1,15,12,0.0127
1,15,13,0.0286
1,15,14,0.0585
1,15,15,0.0278
1,15,16,0.0232
1,15,17,0.0093
1,15,18,0.1401
1,15,19,0.0347
1,15,20,0.2881
1,15,21,0.1235
1,15,22,0.0145
1,15,23,0.12
1,16,0,0.0129
1,16,1,0.1731
1,16,2,0.0208
1,16,3,0.0558
1,16,4,0.0322
1,16,5,0.024
1,16,6,0.0607
1,16,7,0.0537
1,16,8,0.0167
1,16,9,0.1253
1,16,10,0.0437
1,16,11,0.0316
1,16,12,0.0177
1,16,13,0.0237
1,16,14,0.105
1,16,15,0.0991
1,16,16,0.0063
1,16,17,0.0235
1,16,18,0.0174
1,16,19,0.067
1,16,20,0.236
1,16,21,0.1737
1,16,22,0.0171
1,16,23,0.0033
1,17,0,0.0364
1,17,1,0.1598
1,17,2,0.0072
1,17,3,0.0042
1,17,4,0.0352
1,17,5,0.0053
1,17,6,0.1456
1,17,7,0.0229
1,17,8,0.0342
1,17,9,0.0133
1,17,10,0.0101
1,17,11,0.0034
1,17,12,0.0079
1,17,13,0.0105
1,17,14,0.0153
1,17,15,0.0145
1,17,16,0.013
1,17,17,0.0431
1,17,18,0.0456
1,17,19,0.0046
1,17,20,0.0224
1,17,21,0.1978
1,17,22,0.0192
1,17,23,0.0052
1,18,0,0.034
1,18,1,0.1453
1,18,2,0.1985
1,18,3,0.026
1,18,4,0.0395
1,18,5,0.0224
1,18,6,0.0168
1,18,7,0.1128
1,18,8,0.0302
1,18,9,0.0376
1,18,10,0.0998
1,18,11,0.1666
1,18,12,0.0132
1,18,13,0.0339
1,18,14,0.0087
1,18,15,0.0652
1,18,16,0.0715
1,18,17,0.2723
1,18,18,0.0413
1,18,19,0.1018
1,18,20,0.0531
1,18,21,0.1073
1,18,22,0.0042
1,18,23,0.1506
1,19,0,0.0331
1,19,1,0.0891
1,19,2,0.0921
1,19,3,0.065
1,19,4,0.1468
1,19,5,0.1409
1,19,6,0.1202
1,19,7,0.2566
1,19,8,0.0601
1,19,9,0.1243
1,19,10,0.0298
1,19,11,0.1009
1,19,12,0.0108
1,19,13,0.0229
1,19,14,0.0113
1,19,15,0.2024
1,19,16,0.0104
1,19,17,0.0525
1,19,18,0.1664
1,19,19,0.1266
1,19,20,0.1946
1,19,21,0.2643
1,19,22,0.2469
1,19,23,0.2291
1,20,0,0.0511
1,20,1,0.0936
1,20,2,0.1371
1,20,3,0.0374
1,20,4,0.106
1,20,5,0.4974
1,20,6,0.2648
1,20,7,0.0287
1,20,8,0.2315
1,20,9,0.077
1,20,10,0.1287
1,20,11,0.437
1,20,12,0.4265
1,20,13,0.0843
1,20,14,0.0823
1,20,15,0.1273
1,20,16,0.351
1,20,17,0.0943
1,20,18,0.1403
1,20,19,0.0093
1,20,20,0.1249
1,20,21,0.0884
1,20,22,0.0342
1,20,23,0.0411
1,21,0,0.0221
1,21,1,0.0266
1,21,2,0.0324
1,21,3,0.0523
1,21,4,0.1546
1,21,5,0.0339
1,21,6,0.0877
1,21,7,0.0362
1,21,8,0.0503
1,21,9,0.0385
1,21,10,0.002
1,21,11,0.036
1,21,12,0.009
1,21,13,0.0175
1,21,14,0.0212
1,21,15,0.0803
1,21,16,0.0342
1,21,17,0.028
1,21,18,0.149
1,21,19,0.0335
1,21,20,0.0619
1,21,21,0.0129
1,21,22,0.0253
1,21,23,0.053
1,22,0,0.4169
1,22,1,0.1485
1,22,2,0.1436
1,22,3,0.1944
1,22,4,0.0799
1,22,5,0.1422
1,22,6,0.0709
1,22,7,0.0625
1,22,8,0.2458
1,22,9,0.1348
1,22,10,0.057
1,22,11,0.0036
1,22,12,0.1387
1,22,13,0.0237
1,22,14,0.0977
1,22,15,0.0644
1,22,16,0.0934
1,22,17,0.1804
1,22,18,0.3595
1,22,19,0.0212
1,22,20,0.2758
1,22,21,0.0486
1,22,22,0.0396
1,22,23,0.0971
1,23,0,0.1451
1,23,1,0.2662
1,23,2,0.0089
1,23,3,0.318
1,23,4,0.0458
1,23,5,0.0033
1,23,6,0.2385
1,23,7,0.2099
1,23,8,0.0041
1,23,9,0.2516
1,23,10,0.2173
1,23,11,0.0894
1,23,12,0.0697
1,23,13,0.4599
1,23,14,0.0231
