Step,Layer,Head,Sparsity
1,23,22,0.025
1,23,23,0.0203
1,24,0,0.2233
1,24,1,0.2734
1,24,2,0.024
1,24,3,0.0105
1,24,4,0.0863
1,24,5,0.0019
1,24,6,0.1295
1,24,7,0.0037
1,24,8,0.3997
1,24,9,0.0091
1,24,10,0.1348
1,24,11,0.0033
1,24,12,0.0993
1,24,13,0.0333
1,24,14,0.015
1,24,15,0.2385
1,24,16,0.1998
1,24,17,0.0033
1,24,18,0.1131
1,24,19,0.1953
1,24,20,0.0042
1,24,21,0.1075
1,24,22,0.0221
1,24,23,0.0072
1,25,0,0.0521
1,25,1,0.0155
1,25,2,0.0375
1,25,3,0.0159
1,25,4,0.0166
1,25,5,0.0735
1,25,6,0.015
1,25,7,0.249
1,25,8,0.0404
1,25,9,0.0162
1,25,10,0.0243
1,25,11,0.0176
1,25,12,0.0445
1,25,13,0.046
1,25,14,0.221
1,25,15,0.0297
1,25,16,0.0104
1,25,17,0.004
1,25,18,0.0131
1,25,19,0.0018
1,25,20,0.0162
1,25,21,0.0017
1,25,22,0.0302
1,25,23,0.0065
1,26,0,0.0269
1,26,1,0.1193
1,26,2,0.6392
1,26,3,0.1301
1,26,4,0.0966
1,26,5,0.0164
1,26,6,0.4253
1,26,7,0.6311
1,26,8,0.0386
1,26,9,0.1373
1,26,10,0.1834
1,26,11,0.0377
1,26,12,0.1899
1,26,13,0.2253
1,26,14,0.0609
1,26,15,0.0155
1,26,16,0.0849
1,26,17,0.4923
1,26,18,0.224
1,26,19,0.1693
1,26,20,0.1479
1,26,21,0.1205
1,26,22,0.0265
1,26,23,0.1627
1,27,0,0.0076
1,27,1,0.3291
1,27,2,0.2739
1,27,3,0.2803
1,27,4,0.205
1,27,5,0.2061
1,27,6,0.0012
1,27,7,0.2395
1,27,8,0.2286
1,27,9,0.2635
1,27,10,0.126
1,27,11,0.065
1,27,12,0.2367
1,27,13,0.0037
1,27,14,0.4075
1,27,15,0.3113
1,27,16,0.2884
1,27,17,0.0045
1,27,18,0.2947
1,27,19,0.1164
1,27,20,0.571
1,27,21,0.1995
1,27,22,0.292
1,27,23,0.6306
1,28,0,0.0792
1,28,1,0.2175
1,28,2,0.1714
1,28,3,0.0065
1,28,4,0.0389
