Step,Layer,Head,Sparsity
1,10,18,0.2834
1,10,19,0.0547
1,10,20,0.1749
1,10,21,0.2155
1,10,22,0.3335
1,10,23,0.1462
1,10,24,0.3044
1,10,25,0.4324
1,10,26,0.2193
1,10,27,0.3473
1,10,28,0.3913
1,10,29,0.1951
1,10,30,0.2185
1,10,31,0.3732
1,10,32,0.2896
1,10,33,0.0373
1,10,34,0.1785
1,10,35,0.1482
1,10,36,0.23
1,10,37,0.061
1,10,38,0.1391
1,10,39,0.2507
1,11,0,0.1377
1,11,1,0.2939
1,11,2,0.4117
1,11,3,0.1118
1,11,4,0.3402
1,11,5,0.252
1,11,6,0.3836
1,11,7,0.3554
1,11,8,0.1358
1,11,9,0.348
1,11,10,0.2117
1,11,11,0.0547
1,11,12,0.4148
1,11,13,0.1772
1,11,14,0.3425
1,11,15,0.076
1,11,16,0.1121
1,11,17,0.3237
1,11,18,0.2971
1,11,19,0.2604
1,11,20,0.2492
1,11,21,0.3051
1,11,22,0.2929
1,11,23,0.3586
1,11,24,0.2803
1,11,25,0.5137
1,11,26,0.245
1,11,27,0.1967
1,11,28,0.3608
1,11,29,0.289
1,11,30,0.2286
1,11,31,0.1721
1,11,32,0.141
1,11,33,0.0835
1,11,34,0.3383
1,11,35,0.2903
1,11,36,0.0201
1,11,37,0.393
1,11,38,0.3443
1,11,39,0.3809
1,12,0,0.3704
1,12,1,0.3562
1,12,2,0.2763
1,12,3,0.2253
1,12,4,0.4276
1,12,5,0.093
1,12,6,0.2008
1,12,7,0.3313
1,12,8,0.1698
1,12,9,0.1497
1,12,10,0.0807
1,12,11,0.2126
1,12,12,0.2283
1,12,13,0.2363
1,12,14,0.2075
1,12,15,0.1099
1,12,16,0.2571
1,12,17,0.3318
1,12,18,0.0841
1,12,19,0.2955
1,12,20,0.2614
1,12,21,0.1549
1,12,22,0.0685
1,12,23,0.1708
1,12,24,0.2636
1,12,25,0.1464
1,12,26,0.3662
1,12,27,0.2478
1,12,28,0.0518
1,12,29,0.1901
1,12,30,0.178
1,12,31,0.397
1,12,32,0.1164
1,12,33,0.1061
1,12,34,0.2311
